 * Tip: There are .env files present. Install python-dotenv to use them.
🔧 JDM Service Center App starting...
🌐 Service Center URL: http://localhost:5001
🔧 Debug mode: False
🔐 Password protected
 * Serving Flask app 'admin_app'
 * Debug mode: off
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5001
 * Running on http://10.93.25.206:5001
[33mPress CTRL+C to quit[0m
127.0.0.1 - - [07/Apr/2026 12:48:26] "GET / HTTP/1.1" 200 -
10.91.49.13 - - [07/Apr/2026 13:51:28] "GET / HTTP/1.1" 200 -
10.91.49.13 - - [07/Apr/2026 13:51:28] "GET /static/css/style.css HTTP/1.1" 200 -
10.91.49.13 - - [07/Apr/2026 13:51:28] "GET /static/js/admin_auth.js HTTP/1.1" 200 -
10.91.49.13 - - [07/Apr/2026 13:51:28] "GET /api/admin/check HTTP/1.1" 200 -
10.91.49.13 - - [07/Apr/2026 13:51:35] "POST /api/admin/login HTTP/1.1" 200 -
10.91.49.13 - - [07/Apr/2026 13:51:35] "GET /dashboard HTTP/1.1" 200 -
10.91.49.13 - - [07/Apr/2026 13:51:35] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
10.91.49.13 - - [07/Apr/2026 13:51:35] "GET /static/js/admin_dashboard.js HTTP/1.1" 200 -
10.91.49.13 - - [07/Apr/2026 13:51:35] "GET /api/admin/check HTTP/1.1" 200 -
10.91.49.13 - - [07/Apr/2026 13:51:35] "GET /api/stats HTTP/1.1" 200 -
10.91.49.13 - - [07/Apr/2026 13:51:35] "GET /api/orders HTTP/1.1" 200 -
10.91.49.13 - - [07/Apr/2026 13:51:39] "GET /services HTTP/1.1" 200 -
10.91.49.13 - - [07/Apr/2026 13:51:39] "GET /static/js/admin_services.js HTTP/1.1" 200 -
10.91.49.13 - - [07/Apr/2026 13:51:39] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
10.91.49.13 - - [07/Apr/2026 13:51:39] "GET /api/admin/check HTTP/1.1" 200 -
10.91.49.13 - - [07/Apr/2026 13:51:40] "GET /api/services?active_only=false HTTP/1.1" 200 -
10.91.49.13 - - [07/Apr/2026 13:52:29] "[35m[1mPOST /api/services/register HTTP/1.1[0m" 201 -
10.91.49.13 - - [07/Apr/2026 13:52:31] "GET /api/services?active_only=false HTTP/1.1" 200 -
10.91.49.13 - - [07/Apr/2026 13:52:33] "GET /dashboard HTTP/1.1" 200 -
10.91.49.13 - - [07/Apr/2026 13:52:33] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
10.91.49.13 - - [07/Apr/2026 13:52:33] "[36mGET /static/js/admin_dashboard.js HTTP/1.1[0m" 304 -
10.91.49.13 - - [07/Apr/2026 13:52:33] "GET /api/admin/check HTTP/1.1" 200 -
10.91.49.13 - - [07/Apr/2026 13:52:33] "GET /api/stats HTTP/1.1" 200 -
10.91.49.13 - - [07/Apr/2026 13:52:33] "GET /api/orders HTTP/1.1" 200 -
10.91.49.13 - - [07/Apr/2026 13:52:36] "GET /services HTTP/1.1" 200 -
10.91.49.13 - - [07/Apr/2026 13:52:36] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
10.91.49.13 - - [07/Apr/2026 13:52:36] "[36mGET /static/js/admin_services.js HTTP/1.1[0m" 304 -
10.91.49.13 - - [07/Apr/2026 13:52:37] "GET /api/admin/check HTTP/1.1" 200 -
10.91.49.13 - - [07/Apr/2026 13:52:37] "GET /api/services?active_only=false HTTP/1.1" 200 -
10.91.49.13 - - [07/Apr/2026 13:52:40] "GET /api/services/SVC-0001 HTTP/1.1" 200 -
10.91.49.13 - - [07/Apr/2026 13:52:40] "GET /api/services/stats HTTP/1.1" 200 -
